Cage.no,sp,date,no_male,eggs,larvae,tand,ferti,female_surv,mat_th,date_j
13,TRA,6/6/2024,4,441,387,,0.87755102,1,0,157
B1,TRA,6/6/2024,1,294,257,,0.87414966,1,0,157
31,TRA,6/6/2024,1,312,245,,0.78525641,1,0,157
19,TRA,6/6/2024,1,0,0,,,0,0,157
A6,TRA,6/6/2024,1,274,37,,0.135036496,1,1,157
C7,TRA,6/6/2024,1,0,0,,,0,1,157
30,TRA,6/6/2024,1,0,0,,,0,0,157
29,TRA,6/6/2024,1,0,0,,,0,0,157
7,TRA,6/10/2024,1,0,0,,,1,0,161
4,TRA,6/10/2024,4,0,0,,,1,2,161
T2,TRA,6/10/2024,1,194,117,,0.603092784,1,1,161
B6,TRA,6/10/2024,4,0,0,,,1,2,161
8,TRA,6/10/2024,4,0,0,,,1,2,161
99,TRA,6/11/2024,1,0,0,,,0,0,162
12,TRA,6/11/2024,4,0,0,,,1,3,162
D1,TRA,6/11/2024,4,239,88,,0.368200837,1,1,162
18,TRA,6/11/2024,4,254,44,,0.173228346,1,2,162
C17,TRA,6/11/2024,1,0,0,,,1,1,162
5,EXS,6/13/2023,4,6,4,,0.666666667,0,0,164
13,TRA,6/13/2024,4,0,0,,,0,2,164
9,TRA,6/13/2024,1,0,0,,,1,0,164
14A,TRA,6/13/2024,4,279,235,,0.842293907,1,2,164
30,TRA,6/13/2024,4,0,0,,,0,4,164
35,TRA,6/13/2024,1,0,0,,,0,1,164
3?,TRA,6/13/2024,1,0,0,,,0,0,164
T1,TRA,6/13/2024,4,271,117,,0.431734317,1,1,164
10,EXS,6/17/2024,1,0,0,,,0,3,168
D1,EXS,6/17/2024,4,0,0,,,1,1,168
A6,TRA,6/17/2024,4,0,0,,,0,4,168
40,EXS,6/17/2024,4,0,0,,,1,2,168
21,EXS,6/17/2024,1,232,199,,0.857758621,1,0,168
5A,TRA,6/17/2024,1,0,0,,,0,1,168
2,TRA,6/20/2024,1,177,102,,0.576271186,1,0,171
22,TRA,6/20/2024,4,0,0,,,1,0,171
13,EXS,5/30/2025,6,0,0,,,1,3,150
13,EXS,6/26/2025,6,44,27,,0.613636364,1,3,177
A6,EXS,6/26/2025,6,0,0,1,,1,2,177
35,EXS,6/29/2025,6,11,6,1,0.545454545,1,2,180
